15,3805,3990,1142,1681,8047
26,1292,3558,637,1153,4961
36,668,3014,1050,1188,7228
37,2459,3051,1111,2095,8042
41,17,3051,716,2978,5147
42,241,218,1306,2347,5136
50,742,1570,2684,1935,5959
50,5082,1731,1161,2662,5529
52,3700,3389,916,2230,6056
60,2589,1595,842,1106,5810
67,6281,3069,1762,1608,6398
68,1648,4076,737,5082,14950
72,358,3330,875,1024,5199
95,2268,3615,3045,778,14403
101,2394,340,1584,705,5629
115,996,1480,1275,747,6933
121,3783,2946,920,2960,5788
157,2766,162,2238,2032,12216
159,5413,4229,982,3206,6974
160,5972,3310,928,2275,5322
168,3190,840,1360,354,10244
174,2741,3487,859,3731,6724
178,1099,4447,904,3757,10594
178,1082,3566,1897,4849,10804
183,4388,4313,1202,1264,4930
191,1396,3326,1766,2437,9122
192,534,3902,858,1847,6041
194,5911,487,1859,4069,5753
198,2269,126,1867,2583,5595
204,992,4005,1713,2172,9303
209,2641,2954,780,430,4840
227,3643,3479,1308,126,6584
245,2561,3420,1260,1259,7626
250,1357,4436,2185,8031,16681
255,3232,4269,944,228,5077
255,1422,4049,922,80,6459
269,573,1696,1090,769,6251
279,4159,4324,933,2395,5920
281,3958,3384,1100,31,5840
283,5739,4243,1007,6204,8254
283,2777,3180,1100,419,5584
285,3100,1951,1018,543,4917
290,4165,3453,1418,859,6429
296,5994,2314,1544,289,6023
305,5955,3715,2188,790,8713
309,5099,1515,1856,1413,5910
319,981,728,1174,926,6211
319,5370,3846,1039,8489,6323
321,6401,4132,1319,2062,6337
330,4103,934,2394,1679,16092
331,3661,4100,1028,3264,7911
332,743,1375,1157,3633,5210
335,3757,3434,1816,448,8484
338,3347,4144,1698,647,8687
346,3582,3363,890,2666,5536
346,3772,3392,2055,2374,8167
360,5482,1496,1555,3538,5235
361,4402,4307,846,2881,5800
373,62,1171,1539,859,6429
374,5410,4234,963,4373,6123
382,3141,1379,1235,4462,7328
391,4544,3039,2075,31,16173
392,5234,4365,1030,3829,8591
396,4213,4384,1669,1814,13023
407,2533,1357,1826,673,5558
407,4911,4429,1554,12239,8778
413,1765,3157,1306,2583,5595
415,5239,3856,1426,1603,7095
419,831,3517,1426,407,5644
421,5417,4222,998,2960,5788
426,1677,3230,1184,1718,5988
430,226,458,1568,899,7064
437,5306,1540,1520,2806,5812
438,2538,1368,1741,5184,7440
440,976,4406,1340,1439,9364
444,1422,740,1580,30,7321
445,3152,4325,1563,2751,10979
447,2656,2943,2169,1225,11586
448,3227,3334,1104,955,5350
452,320,4258,1916,12118,9968
453,5859,4229,1114,8255,6985
457,3840,3370,1171,29,5941
464,3839,2355,1576,444,6166
464,3123,4083,1303,488,6476
481,3436,504,1410,2506,5351
481,3858,4418,1157,446,4999
483,86,216,1304,307,5161
484,6274,935,1466,3538,5236
484,4121,3209,1242,6892,6515
485,648,3150,1227,1093,4836
488,2391,617,1637,365,4986
489,241,1685,1576,2790,10210
490,3615,3724,1074,2462,6377
499,6058,4289,1278,2960,5788
501,5400,4227,1576,400,9702
502,317,2740,1115,1027,5338
504,2608,1573,1845,86,6543
505,3744,4040,1157,974,5546
506,1120,334,1470,2368,5108
508,3124,2475,1218,198,4964
508,3926,3370,1106,2330,5801
520,1285,4211,1253,3132,7088
521,4206,1225,2704,770,8629
524,6191,4253,1213,2450,5267
527,6065,4300,1389,2412,10875
530,1184,2881,1486,5081,6455
531,5220,3573,1152,4565,6648
535,5731,4227,1357,2294,6695
535,1891,2035,2102,2653,7569
537,6391,2960,1500,3786,6550
542,8,218,1908,751,5668
